species,log_svl_mm,repro_mode
NA,3.629660,Oviparous
Lygodactylus_kimhowelli,3.569533,Oviparous
Lygodactylus_klugei,3.526361,Oviparous
NA,3.784190,Oviparous
NA,3.546740,Oviparous
Lygodactylus_manni,3.737670,Oviparous
Lygodactylus_methueni,3.737670,Oviparous
Lygodactylus_mirabilis,3.377588,Oviparous
NA,3.549617,Oviparous
Lygodactylus_mombasicus,3.663562,Oviparous
NA,3.610918,Oviparous
NA,3.391147,Oviparous
Lygodactylus_nigropunctatus,3.637586,Oviparous
Lygodactylus_ocellatus,3.637586,Oviparous
NA,3.332205,Oviparous
Lygodactylus_pauliani,3.583519,Oviparous
NA,3.642836,Oviparous
Lygodactylus_picturatus,3.761200,Oviparous
Lygodactylus_pictus,3.713572,Oviparous
Lygodactylus_rarus,3.610918,Oviparous
Lygodactylus_rex,4.007333,Oviparous
Lygodactylus_roavolana,3.161247,Oviparous
Lygodactylus_scheffleri,3.526361,Oviparous
Lygodactylus_scorteccii,3.555348,Oviparous
Lygodactylus_somalicus,3.490429,Oviparous
Lygodactylus_thomensis,3.602777,Oviparous
Lygodactylus_verticillatus,3.555348,Oviparous
Lygodactylus_wetzeli,3.349904,Oviparous
Lygodactylus_williamsi,3.526361,Oviparous
Matoatoa_brevipes,3.688879,Oviparous
Matoatoa_spannringi,4.060443,Oviparous
Mediodactylus_amictopholis,3.610918,Oviparous
Mediodactylus_aspratilis,3.310543,Oviparous
NA,3.912023,Oviparous
Mediodactylus_brachykolon,3.935740,Oviparous
NA,3.921973,Oviparous
Mediodactylus_heterocercus,3.951244,Oviparous
Mediodactylus_heteropholis,3.706228,Oviparous
Mediodactylus_kotschyi,4.025352,Oviparous
NA,3.768153,Oviparous
NA,3.871201,Oviparous
Mediodactylus_russowii,3.974058,Oviparous
Mediodactylus_sagittifer,3.496508,Oviparous
Mediodactylus_spinicauda,3.875359,Oviparous
Mediodactylus_stevenandersoni,3.597312,Oviparous
Microgecko_depressus,3.526361,Oviparous
Microgecko_helenae,3.621671,Oviparous
Microgecko_persicus,3.580737,Oviparous
Mniarogekko_chahoua,4.990433,Oviparous
Mniarogekko_jalu,4.938065,Oviparous
Mokopirirakau_cryptozoicus,4.465908,Viviparous
Mokopirirakau_granulatus,4.605170,Viviparous
Mokopirirakau_kahutarae,4.510860,Viviparous
Mokopirirakau_nebulosus,4.499810,Viviparous
NA,4.407938,Oviparous
Nactus_cheverti,4.043051,Oviparous
Nactus_coindemirensis,3.589059,Oviparous
Nactus_eboracensis,4.060443,Oviparous
NA,4.276666,Oviparous
Nactus_galgajuga,3.912023,Oviparous
NA,4.219508,Oviparous
Nactus_multicarinatus,4.143135,Oviparous
Nactus_pelagicus,4.382027,Oviparous
Nactus_serpensinsula,4.189655,Oviparous
Nactus_sphaerodactylodes,3.258097,Oviparous
Narudasia_festiva,3.433987,Oviparous
Naultinus_elegans,4.363099,Viviparous
NA,4.248495,Viviparous
Naultinus_gemmeus,4.382027,Viviparous
Naultinus_grayii,4.553877,Viviparous
Naultinus_manukanus,4.394449,Viviparous
Naultinus_punctatus,4.553877,Viviparous
Naultinus_rudis,4.343805,Viviparous
Naultinus_stellatus,4.382027,Viviparous
Naultinus_tuberculatus,4.442651,Viviparous
Nebulifera_robusta,4.450853,Oviparous
Nephrurus_amyae,4.941642,Oviparous
Nephrurus_asper,4.665324,Oviparous
Nephrurus_deleani,4.605170,Oviparous
Nephrurus_laevissimus,4.605170,Oviparous
Nephrurus_levis,4.718499,Oviparous
Nephrurus_sheai,4.867534,Oviparous
Nephrurus_stellatus,4.564348,Oviparous
Nephrurus_vertebralis,4.532599,Oviparous
Nephrurus_wheeleri,4.615121,Oviparous
Oedodera_marmorata,4.174387,Oviparous
NA,4.383276,Oviparous
NA,4.521789,Oviparous
Oedura_castelnaui,4.574711,Oviparous
NA,4.682131,Oviparous
Oedura_coggeri,4.390739,Oviparous
Oedura_filicipoda,4.663439,Oviparous
NA,4.744932,Oviparous
Oedura_gemmata,4.700480,Oviparous
Oedura_gracilis,4.595120,Oviparous
Oedura_jowalbinna,4.234107,Oviparous
NA,4.605170,Oviparous
Oedura_marmorata,4.700480,Oviparous
Oedura_monilis,4.585987,Oviparous
Oedura_murrumanu,4.751001,Oviparous
Oedura_tryoni,4.635699,Oviparous
Ophidiocephalus_taeniatus,4.762174,Oviparous
Orraya_occultus,4.696837,Oviparous
Pachydactylus_acuminatus,3.916015,Oviparous
Pachydactylus_affinis,4.219508,Oviparous
Pachydactylus_amoenus,3.583519,Oviparous
Pachydactylus_atorquatus,3.992681,Oviparous
Pachydactylus_austeni,3.850148,Oviparous
Pachydactylus_barnardi,4.135167,Oviparous
Pachydactylus_bicolor,3.761200,Oviparous
Pachydactylus_boehmei,3.793239,Oviparous
Pachydactylus_capensis,4.219508,Oviparous
Pachydactylus_carinatus,3.822098,Oviparous
Pachydactylus_fasciatus,4.025352,Oviparous
Pachydactylus_geitje,3.806662,Oviparous
Pachydactylus_griffini,3.673766,Oviparous
Pachydactylus_haackei,4.442651,Oviparous
Pachydactylus_kobosensis,3.979682,Oviparous
Colopus_kochii,4.094345,Oviparous
NA,4.060443,Oviparous
NA,3.951244,Oviparous
Pachydactylus_maculatus,4.060443,Oviparous
Pachydactylus_maraisi,3.711130,Oviparous
Pachydactylus_mariquensis,4.060443,Oviparous
Pachydactylus_mclachlani,3.885679,Oviparous
Pachydactylus_monicae,3.918005,Oviparous
Pachydactylus_montanus,3.768153,Oviparous
Pachydactylus_namaquensis,4.442651,Oviparous
Pachydactylus_oculatus,3.970292,Oviparous
Pachydactylus_otaviensis,3.758872,Oviparous
Pachydactylus_parascutatus,3.650658,Oviparous
Pachydactylus_punctatus,3.737670,Oviparous
Pachydactylus_purcelli,3.927896,Oviparous
Pachydactylus_rangei,4.382027,Oviparous
Pachydactylus_reconditus,3.799974,Oviparous
Pachydactylus_robertsi,3.737670,Oviparous
Pachydactylus_rugosus,4.189655,Oviparous
Pachydactylus_sansteynae,3.871201,Oviparous
Pachydactylus_scutatus,3.850148,Oviparous
Pachydactylus_serval,3.979682,Oviparous
Pachydactylus_tigrinus,3.970292,Oviparous
Pachydactylus_tsodiloensis,4.094345,Oviparous
Pachydactylus_vansoni,4.077537,Oviparous
Pachydactylus_visseri,3.881564,Oviparous
Colopus_wahlbergii,4.114147,Oviparous
Pachydactylus_waterbergensis,3.897924,Oviparous
Pachydactylus_weberi,3.912023,Oviparous
Pachydactylus_werneri,3.962716,Oviparous
Paniegekko_madjo,4.317488,Oviparous
Paradelma_orientalis,5.288267,Oviparous
Paragehyra_gabriellae,4.317488,Oviparous
Paroedura_androyensis,3.850148,Oviparous
Paroedura_bastardi,4.430817,Oviparous
Paroedura_gracilis,4.276666,Oviparous
Paroedura_ibityensis,4.110874,Oviparous
Paroedura_karstophila,4.007333,Oviparous
NA,4.130355,Oviparous
Paroedura_lohatsara,4.389499,Oviparous
Paroedura_maingoka,4.262680,Oviparous
Paroedura_masobe,4.709530,Oviparous
Paroedura_oviceps,4.262680,Oviparous
Paroedura_picta,4.709530,Oviparous
Paroedura_sanctijohannis,4.382027,Oviparous
Paroedura_stellata,4.120662,Oviparous
Paroedura_stumpffi,4.316154,Oviparous
Paroedura_tanjaka,4.624973,Oviparous
Paroedura_vahiny,3.737670,Oviparous
Paroedura_vazimba,3.912023,Oviparous
NA,3.663562,Oviparous
Perochirus_ateles,4.499810,Oviparous
Perochirus_scutellatus,4.905275,Oviparous
Phelsuma_abbotti,4.174387,Oviparous
Phelsuma_andamanense,4.151040,Oviparous
Phelsuma_antanosy,3.871201,Oviparous
Phelsuma_astriata,4.094345,Oviparous
Phelsuma_barbouri,4.158883,Oviparous
Phelsuma_berghofi,4.060443,Oviparous
Phelsuma_borbonica,4.290459,Oviparous
Phelsuma_breviceps,3.988984,Oviparous
Phelsuma_cepediana,4.094345,Oviparous
Phelsuma_comorensis,4.025352,Oviparous
Phelsuma_dorsivittata,4.043051,Oviparous
Phelsuma_dubia,4.248495,Oviparous
Phelsuma_flavigularis,4.248495,Oviparous
Phelsuma_grandis,4.941642,Oviparous
Phelsuma_guentheri,4.990433,Oviparous
Phelsuma_guimbeaui,4.248495,Oviparous
Phelsuma_guttata,4.219508,Oviparous
Phelsuma_hielscheri,4.295924,Oviparous
Phelsuma_hoeschi,3.600048,Oviparous
Phelsuma_inexpectata,4.127134,Oviparous
Phelsuma_kely,3.496508,Oviparous
Phelsuma_klemmeri,3.761200,Oviparous
Phelsuma_kochi,4.744932,Oviparous
Phelsuma_laticauda,4.174387,Oviparous
Phelsuma_lineata,4.174387,Oviparous
Phelsuma_madagascariensis,4.787492,Oviparous
Phelsuma_malamakibo,4.109233,Oviparous
Phelsuma_masohoala,3.850148,Oviparous
Phelsuma_modesta,3.828641,Oviparous
Phelsuma_mutabilis,3.912023,Oviparous
Phelsuma_nigristriata,3.806662,Oviparous
Phelsuma_ornata,4.077537,Oviparous
Phelsuma_parkeri,4.234107,Oviparous
Phelsuma_parva,3.621671,Oviparous
Phelsuma_pronki,3.912023,Oviparous
Phelsuma_pusilla,3.610918,Oviparous
Phelsuma_quadriocellata,4.110874,Oviparous
Phelsuma_ravenala,4.110874,Oviparous
Phelsuma_robertmertensi,3.912023,Oviparous
Phelsuma_rosagularis,4.234107,Oviparous
Phelsuma_seippi,4.007333,Oviparous
Phelsuma_serraticauda,4.185099,Oviparous
Phelsuma_standingi,4.905275,Oviparous
Phelsuma_sundbergi,4.700480,Oviparous
Phelsuma_vanheygeni,3.555348,Oviparous
Phelsuma_v-nigra,3.970292,Oviparous
NA,3.610918,Oviparous
Phyllodactylus_angustidigitus,4.043051,Oviparous
Phyllodactylus_barringtonensis,3.713572,Oviparous
Phyllodactylus_baurii,3.951244,Oviparous
NA,4.325456,Oviparous
Phyllodactylus_bordai,4.094345,Oviparous
Phyllodactylus_bugastrolepis,4.143135,Oviparous
Phyllodactylus_darwini,4.276666,Oviparous
Phyllodactylus_davisi,4.234107,Oviparous
Phyllodactylus_delcampoi,4.565389,Oviparous
Phyllodactylus_delsolari,4.488636,Oviparous
Phyllodactylus_duellmani,4.012773,Oviparous
Phyllodactylus_galapagensis,3.828641,Oviparous
Phyllodactylus_gerrhopygus,4.025352,Oviparous
NA,3.713572,Oviparous
Phyllodactylus_homolepidurus,4.248495,Oviparous
Phyllodactylus_inaequalis,3.737670,Oviparous
Phyllodactylus_insularis,4.234107,Oviparous
Phyllodactylus_interandinus,3.891820,Oviparous
Phyllodactylus_johnwrighti,3.912023,Oviparous
Phyllodactylus_kofordi,3.828641,Oviparous
Phyllodactylus_lanei,4.394449,Oviparous
Phyllodactylus_leei,3.806662,Oviparous
Phyllodactylus_leoni,4.007333,Oviparous
Phyllodactylus_lepidopygus,4.007333,Oviparous
NA,4.234107,Oviparous
NA,3.761200,Oviparous
Phyllodactylus_martini,3.988984,Oviparous
Phyllodactylus_microphyllus,4.060443,Oviparous
Phyllodactylus_muralis,4.405499,Oviparous
Phyllodactylus_nocticolus,4.143135,Oviparous
NA,4.343805,Oviparous
Phyllodactylus_palmeus,4.406719,Oviparous
Phyllodactylus_papenfussi,3.600048,Oviparous
Phyllodactylus_paucituberculatus,4.248495,Oviparous
Phyllodactylus_pulcher,4.209160,Oviparous
Phyllodactylus_reissii,4.382027,Oviparous
NA,3.949319,Oviparous
Phyllodactylus_sentosus,4.313480,Oviparous
NA,3.663562,Oviparous
NA,4.060443,Oviparous
Phyllodactylus_thompsoni,3.828641,Oviparous
Phyllodactylus_transversalis,4.338597,Oviparous
Phyllodactylus_tuberculosus,4.605170,Oviparous
Phyllodactylus_unctus,4.094345,Oviparous
Phyllodactylus_wirshingi,4.189655,Oviparous
Phyllodactylus_xanti,4.330733,Oviparous
NA,4.567468,Oviparous
Phyllopezus_maranjonensis,4.852030,Oviparous
Phyllopezus_periosus,4.838660,Oviparous
Phyllopezus_pollicaris,4.553877,Oviparous
NA,4.477337,Oviparous
Phyllurus_amnicola,4.727388,Oviparous
Phyllurus_caudiannulatus,4.718499,Oviparous
Phyllurus_championae,4.389499,Oviparous
NA,4.727388,Oviparous
Phyllurus_gulbaru,4.584967,Oviparous
Phyllurus_isis,4.605170,Oviparous
Phyllurus_kabikabi,4.395683,Oviparous
Phyllurus_nepthys,4.634729,Oviparous
Phyllurus_ossa,4.488636,Oviparous
Phyllurus_platurus,4.700480,Oviparous
Pletholax_gracilis,4.499810,Oviparous
Pristurus_abdelkuri,3.610918,Oviparous
Pristurus_carteri,4.382027,Oviparous
Pristurus_celerrimus,3.703768,Oviparous
Pristurus_collaris,4.094345,Oviparous
Pristurus_crucifer,3.688879,Oviparous
Pristurus_flavipunctatus,3.688879,Oviparous
Pristurus_gallagheri,3.688879,Oviparous
Pristurus_guichardi,3.663562,Oviparous
Pristurus_insignis,4.107590,Oviparous
Pristurus_insignoides,3.966511,Oviparous
Pristurus_minimus,3.401197,Oviparous
Pristurus_obsti,3.663562,Oviparous
Pristurus_ornithocephalus,4.094345,Oviparous
Pristurus_phillipsii,3.430756,Oviparous
Pristurus_popovi,3.624341,Oviparous
Pristurus_rupestris,3.265759,Oviparous
Pristurus_saada,3.713572,Oviparous
Pristurus_samhaensis,3.650658,Oviparous
Pristurus_sokotranus,3.688879,Oviparous
Pristurus_somalicus,3.663562,Oviparous
Pseudoceramodactylus_khobarensis,4.248495,Oviparous
Pseudogekko_brevipes,3.988984,Oviparous
NA,4.023564,Oviparous
Pseudogekko_compressicorpus,4.127134,Oviparous
NA,3.953165,Oviparous
Pseudogekko_smaragdinus,4.163560,Oviparous
Pseudogonatodes_guianensis,3.401197,Oviparous
Pseudogonatodes_lunulatus,3.397858,Oviparous
Pseudothecadactylus_australis,4.787492,Oviparous
Pseudothecadactylus_cavaticus,4.744932,Oviparous
Pseudothecadactylus_lindneri,4.672829,Oviparous
Ptenopus_carpi,4.100989,Oviparous
Ptenopus_garrulus,4.143135,Oviparous
Ptenopus_kochi,4.171306,Oviparous
Ptyodactylus_dhofarensis,4.551769,Oviparous
Ptyodactylus_guttatus,4.543295,Oviparous
Ptyodactylus_hasselquistii,4.653960,Oviparous
Ptyodactylus_orlovi,4.494239,Oviparous
Ptyodactylus_oudrii,4.127134,Oviparous
Ptyodactylus_puiseuxi,4.499810,Oviparous
Ptyodactylus_ragazzii,4.605170,Oviparous
Pygopus_lepidopodus,5.613128,Oviparous
Pygopus_nigriceps,5.424950,Oviparous
Pygopus_schraderi,5.288267,Oviparous
Pygopus_steelescotti,5.220356,Oviparous
Quedenfeldtia_moerens,3.933784,Oviparous
Quedenfeldtia_trachyblepharus,3.835142,Oviparous
Ramigekko_swartbergensis,4.343805,Oviparous
Rhacodactylus_auriculatus,4.828314,Oviparous
Rhacodactylus_leachianus,5.634790,Oviparous
Rhacodactylus_trachycephalus,4.941642,Viviparous
Rhacodactylus_trachyrhynchus,5.247024,Viviparous
Rhinogecko_femoralis,4.127134,Oviparous
Rhinogecko_misonnei,4.394449,Oviparous
Rhoptropella_ocellata,3.828641,Oviparous
Rhoptropus_afer,4.007333,Oviparous
Rhoptropus_barnardi,3.891820,Oviparous
Rhoptropus_boultoni,4.304065,Oviparous
Rhoptropus_bradfieldi,4.248495,Oviparous
Rhynchoedura_angusta,3.970292,Oviparous
Rhynchoedura_ormsbyi,3.970292,Oviparous
Rhynchoedura_ornata,4.174387,Oviparous
Rhynchoedura_sexapora,3.970292,Oviparous
Saltuarius_cornutus,5.075174,Oviparous
Saltuarius_kateae,4.700480,Oviparous
Saltuarius_moritzi,4.722064,Oviparous
Saltuarius_salebrosus,4.969813,Oviparous
Saltuarius_swaini,4.905275,Oviparous
Saltuarius_wyberba,4.691348,Oviparous
NA,3.433987,Oviparous
Saurodactylus_fasciatus,3.637586,Oviparous
NA,3.384390,Oviparous
Saurodactylus_mauritanicus,3.526361,Oviparous
Sphaerodactylus_altavelensis,3.367296,Oviparous
Sphaerodactylus_argivus,3.367296,Oviparous
Sphaerodactylus_argus,3.496508,Oviparous
Sphaerodactylus_armasi,3.465736,Oviparous
Sphaerodactylus_asterulus,3.433987,Oviparous
Sphaerodactylus_caicosensis,3.465736,Oviparous
Sphaerodactylus_callocricus,3.332205,Oviparous
Sphaerodactylus_cinereus,3.610918,Oviparous
Sphaerodactylus_clenchi,3.526361,Oviparous
Sphaerodactylus_copei,3.713572,Oviparous
Sphaerodactylus_corticola,3.663562,Oviparous
NA,3.465736,Oviparous
Sphaerodactylus_darlingtoni,3.367296,Oviparous
Sphaerodactylus_difficilis,3.526361,Oviparous
Sphaerodactylus_dimorphicus,3.508556,Oviparous
Sphaerodactylus_elegans,3.681351,Oviparous
Sphaerodactylus_elegantulus,3.367296,Oviparous
Sphaerodactylus_epiurus,3.218876,Oviparous
Sphaerodactylus_fantasticus,3.367296,Oviparous
Sphaerodactylus_glaucus,3.433987,Oviparous
Sphaerodactylus_goniorhynchus,3.465736,Oviparous
NA,3.575151,Oviparous
Sphaerodactylus_homolepis,3.555348,Oviparous
Sphaerodactylus_inaguae,3.367296,Oviparous
NA,3.401197,Oviparous
Sphaerodactylus_kirbyi,3.367296,Oviparous
Sphaerodactylus_klauberi,3.610918,Oviparous
Sphaerodactylus_leucaster,3.433987,Oviparous
Sphaerodactylus_levinsi,3.391147,Oviparous
Sphaerodactylus_macrolepis,3.314186,Oviparous
Sphaerodactylus_mariguanae,3.713572,Oviparous
Sphaerodactylus_microlepis,3.526361,Oviparous
Sphaerodactylus_micropithecus,3.583519,Oviparous
Sphaerodactylus_millepunctatus,3.566712,Oviparous
Sphaerodactylus_molei,3.332205,Oviparous
Sphaerodactylus_nicholsi,3.218876,Oviparous
Sphaerodactylus_nigropunctatus,3.688879,Oviparous
Sphaerodactylus_notatus,3.526361,Oviparous
Sphaerodactylus_oliveri,3.526361,Oviparous
Sphaerodactylus_omoglaux,2.995732,Oviparous
Sphaerodactylus_oxyrhinus,3.526361,Oviparous
Sphaerodactylus_pacificus,3.891820,Oviparous
Sphaerodactylus_parkeri,3.555348,Oviparous
Sphaerodactylus_parvus,3.178054,Oviparous
Sphaerodactylus_phyzacinus,3.218876,Oviparous
Sphaerodactylus_pimienta,3.637586,Oviparous
Sphaerodactylus_plummeri,3.091042,Oviparous
Sphaerodactylus_randi,3.465736,Oviparous
Sphaerodactylus_richardsonii,3.688879,Oviparous
Sphaerodactylus_roosevelti,3.663562,Oviparous
Sphaerodactylus_ruibali,3.465736,Oviparous
Sphaerodactylus_sabanus,3.401197,Oviparous
Sphaerodactylus_savagei,3.496508,Oviparous
Sphaerodactylus_scaber,3.526361,Oviparous
Sphaerodactylus_siboney,3.471966,Oviparous
Sphaerodactylus_sputator,3.688879,Oviparous
Sphaerodactylus_streptophorus,3.258097,Oviparous
Sphaerodactylus_torrei,3.663562,Oviparous
Sphaerodactylus_townsendi,3.401197,Oviparous
Sphaerodactylus_vincenti,3.688879,Oviparous
Sphaerodactylus_zygaena,3.465736,Oviparous
Stenodactylus_affinis,4.220977,Oviparous
Stenodactylus_doriae,4.418841,Oviparous
Stenodactylus_grandiceps,4.110874,Oviparous
Stenodactylus_leptocosymbotes,4.382027,Oviparous
Stenodactylus_mauritanicus,3.367296,Oviparous
Stenodactylus_petrii,4.262680,Oviparous
Stenodactylus_slevini,4.477337,Oviparous
Stenodactylus_sthenodactylus,4.094345,Oviparous
Strophurus_assimilis,4.406719,Oviparous
Strophurus_ciliaris,4.543295,Oviparous
Strophurus_elderi,3.951244,Oviparous
Strophurus_intermedius,4.380776,Oviparous
Strophurus_jeanae,3.912023,Oviparous
Strophurus_krisalys,4.330733,Oviparous
Strophurus_mcmillani,3.988984,Oviparous
Strophurus_michaelseni,4.189655,Oviparous
Strophurus_rankini,4.143135,Oviparous
Strophurus_robinsoni,4.060443,Oviparous
Strophurus_spinigerus,4.374498,Oviparous
Strophurus_strophurus,4.477337,Oviparous
Strophurus_taeniatus,3.912023,Oviparous
Strophurus_taenicauda,4.293195,Oviparous
NA,3.903991,Oviparous
Strophurus_wellingtonae,4.488636,Oviparous
Strophurus_williamsi,4.248495,Oviparous
Strophurus_wilsoni,4.094345,Oviparous
Tarentola_americana,4.787492,Oviparous
Tarentola_angustimentalis,4.382027,Oviparous
Tarentola_annularis,4.941642,Oviparous
Tarentola_boehmei,4.400603,Oviparous
Tarentola_boettgeri,4.310799,Oviparous
Tarentola_chazaliae,4.304065,Oviparous
Tarentola_crombiei,4.056989,Oviparous
Tarentola_darwini,4.382027,Oviparous
Tarentola_delalandii,4.430817,Oviparous
Tarentola_deserti,4.637637,Oviparous
Tarentola_ephippiata,4.867534,Oviparous
Tarentola_gigas,5.043425,Oviparous
Tarentola_gomerensis,4.330733,Oviparous
NA,4.605170,Oviparous
Tarentola_mauritanica,4.454347,Oviparous
Tarentola_mindiae,4.394449,Oviparous
Tarentola_neglecta,4.293195,Oviparous
Tarentola_substituta,4.182050,Oviparous
Tenuidactylus_bogdanovi,4.276666,Oviparous
Tenuidactylus_caspius,4.382027,Oviparous
Tenuidactylus_dadunensis,3.987130,Oviparous
Tenuidactylus_elongatus,4.039536,Oviparous
Tenuidactylus_fedtschenkoi,4.343805,Oviparous
Tenuidactylus_longipes,4.231204,Oviparous
Tenuidactylus_turcmenicus,4.382027,Oviparous
Teratoscincus_bedriagai,4.295924,Oviparous
NA,4.757891,Oviparous
NA,4.539030,Oviparous
Teratoscincus_microlepis,4.508659,Oviparous
Teratoscincus_przewalskii,4.574711,Oviparous
Teratoscincus_roborowskii,4.553877,Oviparous
Teratoscincus_scincus,4.787492,Oviparous
NA,4.458988,Oviparous
Thecadactylus_oskrobapreinorum,4.595120,Oviparous
Thecadactylus_rapicauda,4.836282,Oviparous
Thecadactylus_solimoensis,4.836282,Oviparous
NA,4.291828,Viviparous
Toropuku_stephensi,4.442651,Viviparous
NA,3.912023,Oviparous
Bunopus_spatalurus,4.248495,Oviparous
Stenodactylus_arabicus,3.740048,Oviparous
Stenodactylus_sharqiyahensis,3.555348,Oviparous
Tropiocolotes_algericus,3.610918,Oviparous
NA,3.246491,Oviparous
NA,3.430756,Oviparous
Tropiocolotes_nattereri,3.401197,Oviparous
Tropiocolotes_nubicus,3.417727,Oviparous
Tropiocolotes_scortecci,3.433987,Oviparous
Tropiocolotes_somalicus,3.332205,Oviparous
Tropiocolotes_steudneri,3.487375,Oviparous
Tropiocolotes_tripolitanus,3.610918,Oviparous
NA,3.356897,Oviparous
Tukutuku_rakiurae,4.262680,Viviparous
Underwoodisaurus_milii,4.700480,Oviparous
Underwoodisaurus_seorsus,4.634729,Oviparous
Urocotyledon_inexpectata,3.839452,Oviparous
Urocotyledon_rasmusseni,3.735286,Oviparous
Urocotyledon_wolterstorffi,3.901973,Oviparous
Uroplatus_alluaudi,4.373238,Oviparous
Uroplatus_ebenaui,4.258446,Oviparous
Uroplatus_fimbriatus,5.273000,Oviparous
NA,4.935193,Oviparous
Uroplatus_giganteus,5.298317,Oviparous
Uroplatus_guentheri,4.499810,Oviparous
Uroplatus_henkeli,5.225747,Oviparous
Uroplatus_lineatus,5.135798,Oviparous
Uroplatus_malahelo,4.369448,Oviparous
Uroplatus_malama,4.356709,Oviparous
Uroplatus_phantasticus,4.455509,Oviparous
Uroplatus_pietschmanni,4.394449,Oviparous
Uroplatus_sikorae,4.812184,Oviparous
Uvidicolus_sphyrurus,4.317488,Oviparous
Woodworthia_brunneus,4.382027,Viviparous
Woodworthia_chrysosireticus,4.382027,Viviparous
NA,4.219508,Viviparous
Woodworthia_maculatus,4.488636,Viviparous
Acanthodactylus_aegyptius,3.951244,Oviparous
Acanthodactylus_bedriagai,4.343805,Oviparous
Acanthodactylus_beershebensis,4.499810,Oviparous
Acanthodactylus_blanfordii,4.317488,Oviparous
Acanthodactylus_boskianus,4.553877,Oviparous
Acanthodactylus_busacki,4.298645,Oviparous
Acanthodactylus_cantoris,4.543295,Oviparous
Acanthodactylus_dumerilii,4.219508,Oviparous
Acanthodactylus_erythrurus,4.430817,Oviparous
Acanthodactylus_grandis,4.634729,Oviparous
Acanthodactylus_khamirensis,3.879500,Oviparous
Acanthodactylus_longipes,4.174387,Oviparous
Acanthodactylus_maculatus,4.127134,Oviparous
NA,4.262680,Oviparous
Acanthodactylus_micropholis,4.174387,Oviparous
Acanthodactylus_nilsoni,4.310799,Oviparous
Acanthodactylus_opheodurus,4.130355,Oviparous
Acanthodactylus_orientalis,4.317488,Oviparous
Acanthodactylus_pardalis,4.343805,Oviparous
Acanthodactylus_robustus,4.346399,Oviparous
Acanthodactylus_savignyi,4.317488,Oviparous
Acanthodactylus_schmidti,4.653960,Oviparous
Acanthodactylus_schreiberi,4.532599,Oviparous
Acanthodactylus_scutellatus,4.442651,Oviparous
Acanthodactylus_spinicauda,4.025352,Oviparous
Acanthodactylus_tristrami,4.553877,Oviparous
Acratosaura_mentalis,4.077537,Oviparous
Adolfus_africanus,4.204693,Oviparous
Adolfus_alleni,4.248495,Oviparous
Adolfus_jacksoni,4.499810,Oviparous
NA,4.271095,Oviparous
NA,4.231204,Oviparous
Algyroides_fitzingeri,3.806662,Oviparous
Algyroides_marchi,3.970292,Oviparous
Algyroides_moreoticus,3.918005,Oviparous
Algyroides_nigropunctatus,4.248495,Oviparous
Alopoglossus_angulatus,4.158883,Oviparous
Alopoglossus_atriventris,4.007333,Oviparous
Ptychoglossus_bicolor,4.143135,Oviparous
Ptychoglossus_brevifrontalis,4.219508,Oviparous
Alopoglossus_buckleyi,4.131961,Oviparous
Alopoglossus_copii,4.382027,Oviparous
Ptychoglossus_festae,4.043051,Oviparous
Ptychoglossus_plicatus,4.189655,Oviparous
Ptychoglossus_stenolepis,4.094345,Oviparous
Ptychoglossus_vallensis,3.988984,Oviparous
Amapasaurus_tetradactylus,3.583519,Oviparous
Ameiva_ameiva,5.347108,Oviparous
Ameiva_atrigularis,5.247024,Oviparous
Ameiva_bifrontata,4.852030,Oviparous
Ameiva_jacuba,4.663439,Oviparous
Ameiva_pantherina,5.023881,Oviparous
Ameiva_parecis,4.499810,Oviparous
Ameiva_praesignis,5.493061,Oviparous
Ameivula_confusioniba,4.337291,Oviparous
Ameivula_jalapensis,4.060443,Oviparous
Ameivula_mumbuca,4.077537,Oviparous
Ameivula_nativo,4.241327,Oviparous
Ameivula_nigrigula,4.500920,Oviparous
Ameivula_ocellifera,4.787492,Oviparous
Ameivula_pyrrhogularis,4.488636,Oviparous
Anadia_bogotensis,4.210645,Oviparous
Anadia_brevifrontalis,4.597138,Oviparous
Anadia_hobarti,4.463607,Oviparous
Anadia_ocellata,4.317488,Oviparous
Anadia_petersi,4.308111,Oviparous
Anadia_rhombifera,4.245634,Oviparous
Anatololacerta_anatolica,4.317488,Oviparous
Anatololacerta_budaki,4.189655,Oviparous
Anatololacerta_pelasgiana,4.204693,Oviparous
Riama_oculata,4.477337,Oviparous
Riama_vespertina,4.219508,Oviparous
Anotosaura_collaris,3.912023,Oviparous
Anotosaura_vanzolinia,3.912023,Oviparous
Apathya_cappadocica,4.453184,Oviparous
Apathya_yassujica,4.138361,Oviparous
Archaeolacerta_bedriagae,4.440296,Oviparous
Arthrosaura_kockii,4.262680,Oviparous
Arthrosaura_reticulata,4.262680,Oviparous
Aspidoscelis_angusticeps,4.744932,Oviparous
Aspidoscelis_burti,4.941642,Oviparous
Aspidoscelis_calidipes,4.369448,Oviparous
Aspidoscelis_ceralbensis,4.553877,Oviparous
Aspidoscelis_communis,5.023881,Oviparous
Aspidoscelis_costata,4.882802,Oviparous
Aspidoscelis_cozumelae,4.418841,Oviparous
Aspidoscelis_danheimae,4.189655,Oviparous
Aspidoscelis_deppei,4.532599,Oviparous
NA,4.644391,Oviparous
Aspidoscelis_exsanguis,4.672829,Oviparous
Aspidoscelis_gularis,4.744932,Oviparous
