"n.tips","q.rate","s","method","n.reps","n.valid","n.NA","n.sig","rate","metric"
100,0.1,10,"anccond.01",200,196,4,13,0.0663265306122449,"power"
100,0.1,10,"anccond.10",200,196,4,15,0.076530612244898,"power"
100,0.1,10,"phyloglm",200,200,0,71,0.355,"power"
100,0.1,10,"pgls",200,200,0,34,0.17,"power"
200,0.1,10,"anccond.01",200,198,2,20,0.101010101010101,"power"
200,0.1,10,"anccond.10",200,199,1,25,0.125628140703518,"power"
200,0.1,10,"phyloglm",200,200,0,63,0.315,"power"
200,0.1,10,"pgls",200,200,0,29,0.145,"power"
500,0.1,10,"anccond.01",200,200,0,51,0.255,"power"
500,0.1,10,"anccond.10",200,200,0,46,0.23,"power"
500,0.1,10,"phyloglm",200,200,0,54,0.27,"power"
500,0.1,10,"pgls",200,200,0,38,0.19,"power"
50,0.5,10,"anccond.01",200,200,0,36,0.18,"power"
50,0.5,10,"anccond.10",200,200,0,44,0.22,"power"
50,0.5,10,"phyloglm",200,200,0,61,0.305,"power"
50,0.5,10,"pgls",200,200,0,22,0.11,"power"
100,0.5,10,"anccond.01",200,200,0,39,0.195,"power"
100,0.5,10,"anccond.10",200,200,0,47,0.235,"power"
100,0.5,10,"phyloglm",200,200,0,58,0.29,"power"
100,0.5,10,"pgls",200,200,0,27,0.135,"power"
200,0.5,10,"anccond.01",200,200,0,65,0.325,"power"
200,0.5,10,"anccond.10",200,200,0,73,0.365,"power"
200,0.5,10,"phyloglm",200,200,0,73,0.365,"power"
200,0.5,10,"pgls",200,200,0,26,0.13,"power"
500,0.5,10,"anccond.01",200,200,0,136,0.68,"power"
500,0.5,10,"anccond.10",200,200,0,144,0.72,"power"
500,0.5,10,"phyloglm",200,200,0,103,0.515,"power"
500,0.5,10,"pgls",200,200,0,34,0.17,"power"
50,1,10,"anccond.01",200,200,0,47,0.235,"power"
50,1,10,"anccond.10",200,200,0,51,0.255,"power"
50,1,10,"phyloglm",200,200,0,48,0.24,"power"
50,1,10,"pgls",200,200,0,22,0.11,"power"
100,1,10,"anccond.01",200,200,0,94,0.47,"power"
100,1,10,"anccond.10",200,200,0,91,0.455,"power"
100,1,10,"phyloglm",200,200,0,50,0.25,"power"
100,1,10,"pgls",200,200,0,9,0.045,"power"
200,1,10,"anccond.01",200,200,0,143,0.715,"power"
200,1,10,"anccond.10",200,200,0,142,0.71,"power"
200,1,10,"phyloglm",200,200,0,71,0.355,"power"
200,1,10,"pgls",200,200,0,14,0.07,"power"
500,1,10,"anccond.01",200,200,0,189,0.945,"power"
500,1,10,"anccond.10",200,200,0,183,0.915,"power"
500,1,10,"phyloglm",200,200,0,118,0.59,"power"
500,1,10,"pgls",200,200,0,23,0.115,"power"
50,2,10,"anccond.01",200,200,0,84,0.42,"power"
50,2,10,"anccond.10",200,200,0,65,0.325,"power"
50,2,10,"phyloglm",200,200,0,28,0.14,"power"
50,2,10,"pgls",200,200,0,11,0.055,"power"
100,2,10,"anccond.01",200,200,0,138,0.69,"power"
100,2,10,"anccond.10",200,200,0,130,0.65,"power"
100,2,10,"phyloglm",200,200,0,38,0.19,"power"
100,2,10,"pgls",200,200,0,14,0.07,"power"
200,2,10,"anccond.01",200,200,0,178,0.89,"power"
200,2,10,"anccond.10",200,200,0,176,0.88,"power"
200,2,10,"phyloglm",200,200,0,61,0.305,"power"
200,2,10,"pgls",200,200,0,8,0.04,"power"
500,2,10,"anccond.01",200,200,0,198,0.99,"power"
500,2,10,"anccond.10",200,200,0,199,0.995,"power"
500,2,10,"phyloglm",200,200,0,85,0.425,"power"
500,2,10,"pgls",200,200,0,13,0.065,"power"
