"n.tips","q.rate","s","direction","rep","n0","n1","n.true.trans","n.discard","T.obs.01","T.obs.10","p.anccond.01","p.anccond.10","p.upper.01","p.lower.01","p.upper.10","p.lower.10","p.phyloglm","p.pgls"
50,0.5,1,-1,18,9,41,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999970740452581,0.185148221431613
50,0.5,1,1,19,25,25,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.957812217913334,0.366315235034187
50,0.5,1,1,20,26,24,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998947637969839,0.940042892891932
50,0.5,1,-1,21,10,40,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997157783875008,0.875323377853782
50,0.5,1,1,22,40,10,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.797802300255615,0.792257288108416
50,0.5,1,1,23,44,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.546669823151185,0.0652011353753943
50,0.5,1,-1,24,12,38,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.906438849886214,0.595166396837916
50,0.5,1,-1,25,36,14,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998833192914012,0.225746275564728
50,0.5,1,1,26,10,40,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99967972986162,0.344567050478698
50,0.5,1,-1,27,18,32,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998818569484436,0.295494430103966
50,0.5,1,1,28,40,10,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.777031195119751,0.990275100718288
50,0.5,1,1,29,39,11,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999758294087433,0.679244983793664
50,0.5,1,1,30,18,32,7,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999088331170856,0.564292673218597
50,0.5,1,-1,31,6,44,14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998706857259935,0.273331532501294
50,0.5,1,-1,32,41,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998976130760269,0.111540906753626
50,0.5,1,1,33,7,43,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.689019567802941,0.254714194086615
50,0.5,1,1,34,25,25,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999506104872945,0.344455951463427
50,0.5,1,-1,35,36,14,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999964858165915,0.514288319766159
50,0.5,1,-1,36,37,13,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999150633093454,0.40738743897973
50,0.5,1,-1,37,37,13,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998778879801559,0.132871840839331
50,0.5,1,1,38,24,26,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.74811402976243,0.398715204080962
50,0.5,1,-1,39,30,20,7,0,NA,NA,NA,NA,NA,NA,NA,NA,0.221699588237973,0.279592909912726
50,0.5,1,-1,40,15,35,10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.428344805056488,0.211367792805711
50,0.5,1,-1,41,25,25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999955711205216,0.460002510523344
50,0.5,1,-1,42,28,22,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999063477743177,0.70976462596471
50,0.5,1,-1,43,37,13,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999279090924018,0.659621135324696
50,0.5,1,1,44,33,17,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0817126680435042,0.0860983769893737
50,0.5,1,-1,45,13,37,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.922263466788521,0.440425453445099
50,0.5,1,-1,46,35,15,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0078144439820502,0.130359095659502
50,0.5,1,-1,47,37,13,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999395183383762,0.443089714084571
50,0.5,1,-1,48,29,21,10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0790492129677134,0.0532235667547942
50,0.5,1,-1,49,44,6,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.44533125453971,0.0570504512350502
50,0.5,1,-1,50,28,22,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999252146041875,0.209114367267683
100,0.5,1,1,1,46,54,16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99938594041893,0.0777541781637499
100,0.5,1,-1,2,46,54,20,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99956551019064,0.27364624332284
100,0.5,1,-1,3,8,92,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.173202114253848,0.519480965319362
100,0.5,1,1,4,83,17,14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.992964986736617,0.488404284271391
100,0.5,1,-1,5,16,84,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99811479295496,0.752962313411474
100,0.5,1,-1,6,87,13,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998419374058421,0.410990798327096
100,0.5,1,1,7,13,87,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.867658183055356,0.0153998427509826
100,0.5,1,1,8,44,56,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998557273512554,0.730673544627503
